districtMatch,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement
Adams 12 Five Star Schools,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
Adams County 14 School District,83.17,2.39,0.14,85.35,0.46,0.13,1.01,10.52,-5.56
Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
Boulder Valley RE 2 School District,22.91,1.03,4.73,20.92,0.3,0.1,5.86,67.07,-11.98
Brighton 27J School District,44.03,2.2,2.92,53.74,0.31,0.17,3.0,37.65,-48.06
Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
Clear Creek RE-1 School District,21.64,0.93,0.23,9.99,1.4,0.23,3.02,84.2,-44.5
Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
Douglas County RE 1 School District,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
Elizabeth C-1 School District,16.11,0.83,0.56,13.61,1.39,0.28,3.89,79.44,22.0
Englewood 1 School District,61.99,2.94,1.12,40.56,0.27,0.41,5.03,49.69,-26.38
Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29
Keenesburg RE-3J School District,50.68,2.03,0.68,55.07,0.34,0.0,3.04,38.85,-145.0
Littleton 6 School District,20.79,1.46,2.42,19.47,0.35,0.15,4.69,71.45,-15.7
Mapleton 1 School District,51.25,0.92,1.49,65.61,0.51,0.1,1.73,9.64,-14.8
Platte Canyon 1 School District,17.52,0.44,0.22,10.2,0.89,0.0,5.32,82.93,-273.0
Sheridan 2 School District,88.49,3.6,1.44,75.5,2.01,0.16,3.14,14.15,-51.0
St. Vrain Valley RE 1J School District,9.26,0.88,3.58,12.23,0.21,0.07,2.97,80.07,11.8
Weld County RE-8 School District,19.22,0.71,2.49,25.62,0.36,0.0,2.85,67.97,-7.0
Westminster 50 School District,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69
