,property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng
0,10062918,1360 S Tejon St,Denver,CO,80223,3,2.00,1887,2720.00,39.692,-105.01143
1,10063975,3625 Fairfax St,Denver,CO,80207,3,1.50,1355,2365.00,39.76798,-104.92849
2,10064043,3690 Magnolia St,Denver,CO,80207,3,1.00,1544,2165.00,39.76843,-104.91145
3,10050170,5631 W 71st Cir,Arvada,CO,80003,4,2.50,1502,2913.00,39.826,-105.06
4,10063182,2280 Mable Ave,Denver,CO,80229,3,1.00,2450,2195.00,39.84991,-104.9599
5,10001870,11845 E Kepner Dr,Aurora,CO,80012,2,3.00,1064,2095.00,39.69852,-104.85037
6,10002292,12156 E Louisiana Dr,Aurora,CO,80012,4,2.50,2625,2745.00,39.69204,-104.84547
7,10063940,13157 E Dakota Ave,Aurora,CO,80012,3,2.00,1679,2335.00,39.70836,-104.83612
8,10071120,9131 Judson St,Westminster,CO,80031,4,2.00,1800,2625.00,39.86246,-105.02907
9,10062992,9174 Lander St,Westminster,CO,80031,3,2.00,1850,2595.00,39.86244,-105.03037
10,10006818,1597 S Uvalda St,Aurora,CO,80012,4,2.00,1976,2595.00,39.68714,-104.83808
11,10064086,2655 Atchison St,Aurora,CO,80011,3,1.50,1285,2085.00,39.75506,-104.82432
12,10062941,4751 Carson St,Denver,CO,80239,2,1.00,1513,2100.00,39.78123,-104.83142
13,10066807,8697 W 86th Cir,Arvada,CO,80005,4,2.00,924,2340.00,39.854,-105.09
14,10115089,10062 Milwaukee St,Thornton,CO,80229,3,2.50,1591,2545.00,39.87842,-104.95208
15,10006119,14705 E Harvard Ave,Aurora,CO,80014,3,2.00,1327,2335.00,39.67106,-104.81664
16,10063129,13420 W 73rd Ave,Arvada,CO,80005,3,3.00,2267,2969.00,39.8295,-105.14905
17,10013807,2956 S Jasper St,Aurora,CO,80013,4,2.00,2016,2585.00,39.66266,-104.8055
18,10062886,2416 S Memphis Way,Aurora,CO,80013,4,2.00,1764,2405.00,39.67214,-104.79639
19,10110559,11062 Wolff Way,Westminster,CO,80031,3,2.50,2142,2845.00,39.8973,-105.04747
20,10062907,11644 Community Center Dr Unit # 126,Denver,CO,80233,4,3.00,2130,2420.00,39.90763,-104.98418
21,10073279,9731 W 104th Dr,Westminster,CO,80021,3,2.00,1144,2345.00,39.884,-105.107
22,10064195,4509 Andes St,Denver,CO,80249,3,2.50,1650,2475.00,39.77975,-104.77171
23,10063142,19106 E Carmel Cir,Aurora,CO,80011,3,3.00,2148,2620.00,39.74906,-104.76429
24,10008406,18753 E Utah Cir,Aurora,CO,80017,4,2.50,1622,2675.00,39.68331,-104.76979
25,10064210,17306 E Mansfield Ave,Aurora,CO,80013,4,2.00,1569,2675.00,39.64554,-104.78758
26,10063274,19743 E 49th Ave,Denver,CO,80249,2,2.50,1524,2395.00,39.78557,-104.75974
27,10111591,4797 S Quintero St,Aurora,CO,80015,4,2.50,1585,2525.00,39.62973,-104.78688
28,10032464,3336 S Dunkirk Way,Aurora,CO,80013,4,2.00,2328,2550.00,39.6553,-104.7621
29,10042796,4323 Nepal St,Denver,CO,80249,4,2.00,1740,2335.00,39.77612,-104.74077
30,10049802,5374 S Telluride Way,Centennial,CO,80015,4,2.50,2145,2628.00,39.61956,-104.78224
31,10110158,5431 S Genoa St,Centennial,CO,80015,4,3.50,2185,2800.00,39.617647,-104.757882
32,10064013,8497 Wild Alfalfa Pl,Parker,CO,80134,4,2.00,1668,2300.00,39.56277,-104.79805
33,10063279,16823 Blue Mist Cir,Parker,CO,80134,3,2.00,2176,2575.00,39.56166,-104.79365
34,10003845,1320 Bluebird St,Brighton,CO,80601,3,2.00,1470,2246.00,39.96678,-104.83774
35,10064613,11303 Haswell Ct,Parker,CO,80134,4,2.50,1687,2595.00,39.51924,-104.78172
36,10112362,12757 S Red Rosa Cir,Parker,CO,80134,3,2.50,2167,2925.00,39.485004,-104.783414
